airport,arr_flights,arr_del15,arr_delay,delay_rate,avg_delay_per_flight,avg_delay_if_delayed,iata_code,name,type,municipality,latitude_deg,longitude_deg,dominant_cause
SAV,98227.0,20620.0,1408730.0,0.20992191556293077,14.341576145051768,68.31862269641125,SAV,Savannah Hilton Head International Airport,large_airport,Savannah,32.126591,-81.19998,late_aircraft_delay
SBA,37515.0,6936.0,453741.0,0.1848860455817673,12.094922031187526,65.4182525951557,SBA,Santa Barbara Municipal Airport,medium_airport,Santa Barbara,34.426201,-119.839996,late_aircraft_delay
SBN,31688.0,6599.0,520139.0,0.20824917950012622,16.414383993940923,78.82088195181088,SBN,South Bend International Airport,medium_airport,South Bend,41.708304,-86.316922,carrier_delay
SBP,24594.0,4556.0,326532.0,0.18524843457753923,13.27689680409856,71.67076382791923,SBP,San Luis County Regional Airport,medium_airport,San Luis Obispo,35.236801147499996,-120.641998291,late_aircraft_delay
SBY,7788.0,1205.0,93811.0,0.1547252182845403,12.045582948125322,77.85145228215768,SBY,Salisbury Ocean City Wicomico Regional Airport,medium_airport,Salisbury,38.34049987792969,-75.51029968261719,late_aircraft_delay
SCC,2348.0,291.0,20211.0,0.12393526405451448,8.607751277683134,69.45360824742268,SCC,Deadhorse Airport,medium_airport,Deadhorse,70.19470215,-148.4649963,weather_delay
SCE,15234.0,2923.0,235122.0,0.19187344098726533,15.434029145332808,80.4385904892234,SCE,State College Regional Airport,medium_airport,State College,40.849374,-77.84852,late_aircraft_delay
SCK,2829.0,771.0,50282.0,0.2725344644750795,17.773771650759986,65.21660181582361,SCK,Stockton Metropolitan Airport,medium_airport,Stockton,37.893279,-121.238079,late_aircraft_delay
SDF,120400.0,24285.0,1678770.0,0.20170265780730898,13.94327242524917,69.1278567016677,SDF,Louisville Muhammad Ali International Airport,large_airport,Louisville,38.1706,-85.735076,late_aircraft_delay
SEA,878250.0,152227.0,8844024.0,0.17332991744947338,10.07005294619983,58.097604235779464,SEA,Seattle–Tacoma International Airport,large_airport,Seattle,47.447943,-122.310276,carrier_delay
SFB,46990.0,14691.0,1247695.0,0.31264098744413704,26.55235156416259,84.92920835885917,SFB,Orlando Sanford International Airport,large_airport,Orlando,28.774277,-81.234626,late_aircraft_delay
SFO,639965.0,140921.0,9363112.0,0.2202011047479159,14.630662614361723,66.44227616891733,SFO,San Francisco International Airport,large_airport,San Francisco,37.619806,-122.374821,carrier_delay
SGF,47776.0,9795.0,673061.0,0.20501925653047556,14.087847454789015,68.71475242470649,SGF,Springfield Branson National Airport,medium_airport,Springfield,37.245047,-93.388596,late_aircraft_delay
SGU,16447.0,2321.0,156023.0,0.14111996108712835,9.486410895604061,67.2223179663938,SGU,St George Regional Airport,medium_airport,St George,37.036389,-113.510306,carrier_delay
SHD,1307.0,243.0,28728.0,0.18592195868400918,21.98010711553175,118.22222222222223,SHD,Shenandoah Valley Regional Airport,medium_airport,Weyers Cave,38.263802,-78.8964,carrier_delay
SHR,3391.0,538.0,44824.0,0.1586552639339428,13.218519610734297,83.31598513011153,SHR,Sheridan County Airport,medium_airport,Sheridan,44.76919937133789,-106.9800033569336,carrier_delay
SHV,28592.0,5434.0,429090.0,0.19005316172355904,15.007344711807498,78.96393080603607,SHV,Shreveport Regional Airport,medium_airport,Shreveport,32.446602,-93.8256,carrier_delay
SIT,6596.0,1395.0,68553.0,0.2114918132201334,10.393117040630685,49.14193548387097,SIT,Sitka Rocky Gutierrez Airport,medium_airport,Sitka,57.04710006713867,-135.36199951171875,late_aircraft_delay
SJC,239794.0,42738.0,2227230.0,0.17822797901532147,9.288097283501672,52.11357574055875,SJC,Norman Y. Mineta San Jose International Airport,large_airport,San Jose,37.362452,-121.929188,late_aircraft_delay
SJT,6736.0,1025.0,70997.0,0.15216745843230403,10.539934679334916,69.26536585365854,SJT,San Angelo Regional Mathis Field,medium_airport,San Angelo,31.35770034790039,-100.49600219726562,carrier_delay
SLC,558601.0,81557.0,5858968.0,0.1460022448939404,10.48864574177275,71.83893473276359,SLC,Salt Lake City International Airport,large_airport,Salt Lake City,40.78886,-111.979866,carrier_delay
SLN,3826.0,811.0,78847.0,0.2119707266074229,20.608207004704653,97.22194821208384,SLN,Salina Municipal Airport,medium_airport,Salina,38.79100036621094,-97.6521987915039,carrier_delay
SMF,262097.0,50698.0,2777220.0,0.193432202581487,10.596153332544821,54.77967572685313,SMF,Sacramento International Airport,large_airport,Sacramento,38.6954,-121.591003,late_aircraft_delay
SMX,868.0,220.0,17520.0,0.2534562211981567,20.18433179723502,79.63636363636364,SMX,Santa Maria Public Airport Captain G Allan Hancock Field,medium_airport,Santa Maria,34.898899,-120.457001,carrier_delay
SNA,215960.0,39118.0,2026327.0,0.18113539544360066,9.382881089090573,51.80037322971522,SNA,John Wayne Orange County International Airport,large_airport,Santa Ana,33.675063,-117.869281,late_aircraft_delay
SPI,5041.0,951.0,77198.0,0.18865304503074787,15.314024995040667,81.17560462670873,SPI,Abraham Lincoln Capital Airport,medium_airport,Springfield,39.844101,-89.677902,late_aircraft_delay
SPS,4486.0,641.0,46894.0,0.14288898796255015,10.453410610789122,73.1575663026521,SPS,Wichita Falls Municipal Airport / Sheppard Air Force Base,medium_airport,Wichita Falls,33.9888,-98.491898,carrier_delay
